"ProjectCode","OrgCode","InspectionId","InspectionDate","InspectorInitials","InspectionSummary","RecentFollowUp","InspectionDocumentName","InspectionDocumentFilename","InspectionDocumentURL","FollowUpDocumentNames ","FollowUpDocumentFileames","FollowUpDocumentUrls","OtherDocument","OtherDocumentURL","AuthorizationID","Type of Inspection"
"Mount Milligan","MEM",61037,1/12/2016,"RCC","On January 12, 2016, Rory Cumming, Inspector of Mines, Electrical visited the Mount Milligan mine site to conduct an electrical inspection.","Mine Manager's Response","MEM Inspection Report 61037","M-236_Mount_Milligan_2016-01-12_InspectionRpt_61037_RCC","https://mines.empr.gov.bc.ca/api/document/586e90fcd2ec8e001b1c8887/fetch","Mine Manager's Response to Inspection Report 61037","M-236_Mount_Milligan_2016-01-12_InspectionRptResponse_61037_RCC","https://mines.empr.gov.bc.ca/api/document/582259826d6ad30017cd6dd7/fetch",,,,"ElectricalElectricalElectricalElectricalElectricalElectricalElectrical"
"Mount Milligan","MEM",62156,3/3/2016,"LM","On March 3, 2016, Laurie Meade and Kris Bailey, Inspectors of Mines, Health and Safety conducted an inspection at the Mount Milligan mine. The inspectors reviewed the mine's first aid records, training records and mine rescue training records and inspected the warehouse and shops.","Mine Manager's Response","MEM Inspection Report 62156","M-236_Mount_Milligan_2016-03-03_InspectionRpt_62156_LM","https://mines.empr.gov.bc.ca/api/document/586c45a125f12d001d2f4da9/fetch","Mine Manager's Response to Inspection Report 62156","M-236_Mount_Milligan_2016-03-03_InspectionRptResponse_62156_LM","https://mines.empr.gov.bc.ca/api/document/582293ff6d6ad30017ce0b0f/fetch",,,,"General"
"Mount Milligan","MEM",63456,4/26/2016,"JVR","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63456","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63456_JVR","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d4a/fetch","Mine Manager's Response to Inspection Report 63456","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63456_JVR","https://mines.empr.gov.bc.ca/api/document/582294086d6ad30017ce0b36/fetch",,,,"General"
"Mount Milligan","MEM",63537,4/26/2016,"AAU","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63537","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63537_AAU","https://mines.empr.gov.bc.ca/api/document/586c460625f12d001d2f4dbc/fetch","Mine Manager's Response to Inspection Report 63537","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63537_AAU","https://mines.empr.gov.bc.ca/api/document/5822940b6d6ad30017ce0b43/fetch",,,,"Occupational Health"
"Mount Milligan","MEM",63598,4/26/2016,"LM","On April 26, 2016, James Robinson and Laurie Meade, Inspectors of Mines, Health and Safety, and Aaron Unger, Inspector of Mines, Ergonomics, visited the Mount Milligan mine to conduct a comprehensive inspection. ","Mine Manager's Response","MEM Inspection Report 63598","M-236_Mount_Milligan_2016-04-26_InspectionRpt_63598_LM","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d48/fetch","Mine Manager's Response to Inspection Report 63598","M-236_Mount_Milligan_2016-04-26_InspectionRptResponse_63598_LM","https://mines.empr.gov.bc.ca/api/document/582294016d6ad30017ce0b1c/fetch",,,,"General"
"Mount Milligan","MEM",65437,6/29/2016,"LM","On June 29, 2016, Lori Meade, Inspector of Mines, Health and Safety and Brian Oke, Inspector of Mines, Permitting, visited the Mount Milligan mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 65437","M-236_Mount_Milligan_2016-06-29_InspectionRpt_65437_LM","https://mines.empr.gov.bc.ca/api/document/586c447925f12d001d2f4d49/fetch","Mine Manager's Response to Inspection Report 65437","M-236_Mount_Milligan_2016-06-29_InspectionRptResponse_65437_LM","https://mines.empr.gov.bc.ca/api/document/582294036d6ad30017ce0b29/fetch",,,,"General"
"Mount Milligan","MEM",68056,9/1/2016,"LM","On September 1, 2016, Laurie Meade and Kris Bailey, Inspectors of Mines, Health and Safety conducted a general inspection of the Mount Milligan mine site.","Mine Manager's Response","MEM Inspection Report 68056","M-236_Mount_Milligan_2016-09-01_InspectionRpt_68056_LM","https://mines.empr.gov.bc.ca/api/document/58a603f187567d001d1888d4/fetch","Mine Manager's Response to Inspection Report 68056","M-236_Mount_Milligan_2016-09-01_InspectionRptResponse_68056_LM","https://mines.empr.gov.bc.ca/api/document/582294036d6ad30017ce0b29/fetch",,,,"General"
"Mount Milligan","MEM",69820,9/7/2016,"SES","An inspection of the Mount Milligan mine was conducted on September 7, 2016, by Sean Shaw (Inspector of Mines, Environmental Geoscience), John Przeczek (contracted Inspector of Mines, Reclamation) and Brian Oke (Inspector of Mines, Permitting). The inspectors were accompanied by the mine manager and several mine employees as well as three members of the Nak ‘Azdli Whut’en First Nation.","Mine Manager's Response","MEM Inspection Report 69820","M-236_Mount_Milligan_2016-09-07_InspectionRpt_69820_Redacted","https://mines.empr.gov.bc.ca/api/document/58a6042887567d001d188900/fetch","Mine Manager's Response to Inspection Report 69820","M-236_Mount_Milligan_2016-09-07_InspectionRptResponse_69820_SES","https://mines.empr.gov.bc.ca/api/document/58a6346287567d001d188c9f/fetch",,,,"Reclamation"
"Mount Milligan","MEM",70916,11/22/2016,"KB","An occupational health and safety inspection was done at the Mount Milligan mine on November 22, 2016 by Inspectors of Mines Kris Bailey and Laurie Meade.","Mine Manager's Response","MEM Inspection Report 70916","M-236_Mount_Milligan_2016-11-22_InspectionRpt_70916_KB","https://mines.empr.gov.bc.ca/api/document/58a637a087567d001d188cb2/fetch","Mine Manager's Response to Inspection Report 70916","M-236_Mount_Milligan_2016-11-22_InspectionRptResponse_70916_KB","https://mines.empr.gov.bc.ca/api/document/58a637a287567d001d188cbf/fetch",,,,"Occupational Health"
"Red Chris","MEM",61776,2/15/2016,"RSP","On February 15, 2016, Scott Parker, Inspector of Mines, Health and Safety, visited the Red Chris mine site to conduct a general inspection. ","Mine Manager's Response","MEM Inspection Report 61776","M-240_Red_Chris_2016-02-15_InspectionRpt_61776_RSP","https://mines.empr.gov.bc.ca/api/document/586e95f0d2ec8e001b1c889a/fetch","Mine Manager's Response to Inspection Report 61776","M-240_Red_Chris_2016-02-15_InspectionRptResponse_61776_RSP","https://mines.empr.gov.bc.ca/api/document/5865609325f12d001d2f4d33/fetch",,,,"General"
